date,sales
2020-01-01,102.48357076505616
2020-02-01,109.80867849414408
2020-03-01,121.55895076619223
2020-04-01,129.11514928204014
2020-05-01,118.1497412020721
2020-06-01,111.3293152152541
2020-07-01,110.89606407753696
2020-08-01,97.33717364576455
2020-09-01,84.33211999463647
2020-10-01,87.21280021792982
2020-11-01,85.36240346024893
2020-12-01,93.17135123214871
2021-01-01,107.20981135783018
2021-02-01,106.93359877671101
2021-03-01,115.6959189131236
2021-04-01,124.68856235379513
2021-05-01,120.25635247401667
2021-06-01,120.07123666297637
2021-07-01,104.45987962239396
2021-08-01,92.43848149332355
2021-09-01,100.00773576891899
2021-10-01,89.37111849756732
2021-11-01,94.01713294775084
2021-12-01,94.37625906893268
2022-01-01,109.27808637737407
2022-02-01,123.05461294854935
2022-03-01,124.56554018857724
2022-04-01,135.37849009172837
2022-05-01,128.31731462609477
2022-06-01,123.04153125103362
2022-07-01,111.99146693885305
2022-08-01,114.76139092254472
2022-09-01,98.61200580062157
2022-10-01,91.2114453552205
2022-11-01,103.79221648482718
2022-12-01,101.39578175014489
2023-01-01,119.04431797502376
2023-02-01,118.7016493806011
2023-03-01,129.6795778311966
2023-04-01,140.48430617934562
2023-05-01,141.01284097566582
2023-06-01,131.35684140594992
2023-07-01,120.42175858805881
2023-08-01,109.99448152205359
2023-09-01,97.2868819724741
2023-10-01,98.90077895802645
2023-11-01,103.37629806951226
2023-12-01,118.78561113109458
2024-01-01,125.7180914478423
2024-02-01,125.6847992231863
2024-03-01,143.94092792266278
2024-04-01,143.57458859791842
2024-05-01,139.93589807415896
2024-06-01,139.55838144420434
2024-07-01,132.15499761247978
2024-08-01,122.15640059558096
2024-09-01,106.48340430819806
2024-10-01,106.95393812074393
2024-11-01,113.33580908132906
2024-12-01,124.37772563561178
