date,actual,forecast,error
1993-03-01,358.425,354.82303,3.6019714355468864
1993-04-01,359.325,354.85004,4.474963378906239
1993-05-01,360.18,354.87375,5.306251220703132
1993-06-01,359.5,354.91153,4.588470458984375
1993-07-01,357.41999999999996,354.96,2.460008544921834
1993-08-01,355.325,355.0027,0.32231445312498863
1993-09-01,353.775,355.03726,-1.2622619628906477
1993-10-01,354.06,355.06613,-1.0061315917968727
1993-11-01,355.35,355.09796,0.25203857421877274
1993-12-01,356.775,355.13147,1.6435302734374773
1994-01-01,358.32,355.17093,3.149071044921868
1994-02-01,358.9,355.22382,3.6761840820312273
1994-03-01,359.925,355.269,4.655987548828136
1994-04-01,361.21999999999997,355.31155,5.908446044921845
1994-05-01,361.65,355.3637,6.286291503906227
1994-06-01,360.9,355.42206,5.477941894531227
1994-07-01,359.46,355.47687,3.9831323242187295
1994-08-01,357.375,355.5405,1.834503173828125
1994-09-01,355.92499999999995,355.59567,0.3293273925780795
1994-10-01,356.02,355.64896,0.3710437011718568
1994-11-01,357.575,355.6984,1.8766052246093636
1994-12-01,359.06,355.76932,3.2906823730468773
1995-01-01,359.975,355.85077,4.124230957031273
1995-02-01,360.925,355.9244,5.000592041015636
1995-03-01,361.575,356.00415,5.570849609374989
1995-04-01,363.36,356.07343,7.286574707031264
1995-05-01,363.7,356.16653,7.533465576171864
1995-06-01,363.25,356.25516,6.994842529296875
1995-07-01,361.8,356.34665,5.453350830078136
1995-08-01,359.375,356.43933,2.9356689453125
1995-09-01,358.0,356.5104,1.489593505859375
1995-10-01,357.85,356.5744,1.2755981445312727
1995-11-01,359.475,356.63202,2.8429809570312727
1995-12-01,360.7,356.7062,3.9937927246093636
1996-01-01,362.025,356.7828,5.242193603515602
1996-02-01,363.175,356.85928,6.315716552734386
1996-03-01,364.06000000000006,356.9442,7.115786132812559
1996-04-01,364.7,357.02634,7.673663330078114
1996-05-01,365.325,357.09995,8.225054931640614
1996-06-01,364.88,357.17996,7.7000378417968705
1996-07-01,363.475,357.26086,6.214135742187523
1996-08-01,361.32,357.33167,3.988334960937493
1996-09-01,359.4,357.3851,2.0148986816406023
1996-10-01,359.625,357.41873,2.206268310546875
1996-11-01,360.73999999999995,357.45932,3.2806799316405773
1996-12-01,362.375,357.50604,4.86895751953125
1997-01-01,363.125,357.56644,5.558563232421875
1997-02-01,363.875,357.62466,6.250335693359375
1997-03-01,364.56,357.679,6.881014404296877
1997-04-01,366.325,357.73264,8.592364501953114
1997-05-01,366.68,357.79688,8.883125000000007
1997-06-01,365.475,357.86096,7.614038085937523
1997-07-01,364.375,357.90375,6.47125244140625
1997-08-01,362.46000000000004,357.94232,4.517678222656286
1997-09-01,360.15,357.9723,2.1777099609374773
1997-10-01,360.75,357.9745,2.7755126953125
1997-11-01,362.38,357.99606,4.3839367675781205
1997-12-01,364.25,358.03592,6.214080810546875
1998-01-01,365.34000000000003,358.0967,7.243289794921907
1998-02-01,366.2,358.15625,8.043749999999989
1998-03-01,367.375,358.21063,9.16436767578125
1998-04-01,368.525,358.27066,10.254339599609352
1998-05-01,369.14,358.33984,10.800156249999986
1998-06-01,368.75,358.40927,10.340728759765625
1998-07-01,367.6,358.4724,9.127587890625023
1998-08-01,365.71999999999997,358.5266,7.19338867187497
1998-09-01,363.925,358.56702,5.357983398437511
1998-10-01,364.32,358.59457,5.725426025390618
1998-11-01,365.55,358.63306,6.916943359375011
1998-12-01,366.925,358.68796,8.237042236328136
1999-01-01,368.12,358.75223,9.36777221679688
1999-02-01,368.85,358.8263,10.023706054687523
1999-03-01,369.6,358.89877,10.701226806640648
1999-04-01,370.975,358.97113,12.003869628906273
1999-05-01,370.84000000000003,359.04782,11.792178955078157
1999-06-01,370.25,359.1137,11.13629150390625
1999-07-01,369.0,359.17538,9.824615478515625
1999-08-01,366.7,359.22226,7.477740478515614
1999-09-01,364.675,359.24377,5.431225585937511
1999-10-01,365.14,359.25098,5.889023437499986
1999-11-01,366.65,359.27036,7.379644775390602
1999-12-01,367.9,359.31042,8.589575195312477
2000-01-01,369.02,359.35776,9.662242431640607
2000-02-01,369.375,359.41092,9.964080810546875
2000-03-01,370.4,359.45514,10.944860839843727
2000-04-01,371.54,359.5018,12.038199462890645
2000-05-01,371.65,359.554,12.096014404296852
2000-06-01,371.625,359.5968,12.0281982421875
2000-07-01,369.94,359.63736,10.302640380859373
2000-08-01,367.95,359.65308,8.296923828124989
2000-09-01,366.53999999999996,359.6481,6.891898193359339
2000-10-01,366.725,359.63647,7.088525390625023
2000-11-01,368.125,359.63397,8.49102783203125
2000-12-01,369.44,359.6541,9.785886230468748
2001-01-01,370.175,359.68777,10.487225341796886
2001-02-01,371.325,359.7205,11.604510498046864
2001-03-01,372.06,359.7616,12.298403320312502
2001-04-01,372.775,359.8026,12.972387695312477
2001-05-01,373.79999999999995,359.84012,13.95988159179683
2001-06-01,373.06,359.8913,13.168703613281252
2001-07-01,371.3,359.9273,11.372692871093761
2001-08-01,369.425,359.9379,9.487103271484386
2001-09-01,367.88,359.9333,7.9467114257812455
2001-10-01,368.05,359.92117,8.128826904296886
2001-11-01,369.375,359.91855,9.456451416015625
2001-12-01,371.02,359.9369,11.083110351562482
