date,actual,forecast,lower_ci,upper_ci
1993-03-01,358.425,358.27107916756546,357.6734854736708,358.86867286146014
1993-04-01,359.325,359.56433598393005,358.85368109546977,360.27499087239033
1993-05-01,360.18,360.1200950782373,359.3120465354174,360.9281436210572
1993-06-01,359.5,359.4873014931351,358.59239673584847,360.3822062504217
1993-07-01,357.41999999999996,357.8198264841331,356.8457799751434,358.7938729931228
1993-08-01,355.325,355.84187520644554,354.7946509330752,356.88909947981585
1993-09-01,353.775,354.12536752768693,353.0097552492511,355.24097980612277
1993-10-01,354.06,354.23602349296425,353.05597992052395,355.41606706540455
1993-11-01,355.35,355.4746554524665,354.23352092715567,356.7157899777773
1993-12-01,356.775,356.7482872103492,355.4489308362241,358.04764358447426
1994-01-01,358.32,357.7919232329587,356.4368442448402,359.14700222107723
1994-02-01,358.9,358.5496728571422,357.14107385774554,359.95827185653883
1994-03-01,359.925,359.5766518732555,358.0887546533965,361.0645490931145
1994-04-01,361.21999999999997,360.86990868962016,359.3167433325954,362.4230740466449
1994-05-01,361.65,361.4256677839274,359.80986868458336,363.0414668832714
1994-06-01,360.9,360.79287419882513,359.11678027764407,362.4689681200062
1994-07-01,359.46,359.12539918982316,357.39110540392664,360.85969297571967
1994-08-01,357.375,357.14744791213553,355.3568449301827,358.93805089408835
1994-09-01,355.92499999999995,355.43094023337693,353.5857456251696,357.2761348415843
1994-10-01,356.02,355.54159619865425,353.6433793392473,357.4398130580612
1994-11-01,357.575,356.7802281581565,354.830430386972,358.73002592934097
1994-12-01,359.06,358.0538599160392,356.0538110537123,360.05390877836606
1995-01-01,359.975,359.0974959386487,357.04842796640514,361.14656391089227
1995-02-01,360.925,359.85524556283224,357.7583040619664,361.9521870636981
1995-03-01,361.575,360.88222457894557,358.716824633174,363.04762452471715
1995-04-01,363.36,362.1754813953102,359.95164762222663,364.3993151683938
1995-05-01,363.7,362.73124048961745,360.45046963890076,365.01201134033414
1995-06-01,363.25,362.0984469045152,359.7621261438638,364.4347676651666
1995-07-01,361.8,360.4309718955132,358.0403916898262,362.8215521012002
1995-08-01,359.375,358.4530206178256,356.0093854685052,360.896655767146
1995-09-01,358.0,356.736512939067,354.2409505242663,359.2320753538677
1995-10-01,357.85,356.8471689043443,354.30073791385234,359.39359989483626
1995-11-01,359.475,358.08580086384654,355.48949775894727,360.6821039687458
1995-12-01,360.7,359.35943262172924,356.7141975025609,362.00466774089756
1996-01-01,362.025,360.40306864433876,357.70979037077456,363.09634691790296
1996-02-01,363.175,361.1608182685223,358.42033895241264,363.90129758463195
1996-03-01,364.06000000000006,362.1877972846356,359.3821691349471,364.99342543432414
1996-04-01,364.7,363.48105410100027,360.6186342909234,366.3434739110771
1996-05-01,365.325,364.0368131953075,361.1187069590373,366.9549194315777
1996-06-01,364.88,363.40401961020524,360.4312698993823,366.3767693210282
1996-07-01,363.475,361.73654460120326,358.7101378737067,364.76295132869984
1996-08-01,361.32,359.75859332351564,356.67946446663495,362.8377221803963
1996-09-01,359.4,358.04208564475704,354.9111223178696,361.17304897164445
1996-10-01,359.625,358.15274161003435,354.9707880919338,361.3346951281349
1996-11-01,360.73999999999995,359.3913735695366,356.1592341807739,362.6235129582993
1996-12-01,362.375,360.6650053274193,357.38344748617527,363.9465631686633
1997-01-01,363.125,361.7086413500288,358.3783983104792,365.0388843895784
1997-02-01,363.875,362.46639097421235,359.08816428858165,365.84461765984304
1997-03-01,364.56,363.4933699903257,360.0508868704125,366.93585311023884
1997-04-01,366.325,364.7866268066903,361.28727988059205,368.2859737327886
1997-05-01,366.68,365.34238590099756,361.7870847247294,368.8976870772657
1997-06-01,365.475,364.7095923158953,361.09920397130503,368.31998066048556
1997-07-01,364.375,363.0421173068933,359.3774697735645,366.70676484022215
1997-08-01,362.46000000000004,361.0641660292057,357.34605103793484,364.78228102047655
1997-09-01,360.15,359.3476583504471,355.5768339534361,363.1184827474581
1997-10-01,360.75,359.4583143157244,355.63550720865334,363.2811214227955
1997-11-01,362.38,360.69694627522665,356.82285390117914,364.57103864927416
1997-12-01,364.25,361.97057803310935,358.0458704940139,365.8952855722048
1998-01-01,365.34000000000003,363.01421405571887,359.03953585337183,366.9888922580659
1998-02-01,366.2,363.7719636799024,359.74793530562465,367.79599205418015
1998-03-01,367.375,364.79894269601573,360.7104889783706,368.88739641366084
1998-04-01,368.525,366.0921995123804,361.9460619607526,370.23833706400814
1998-05-01,369.14,366.6479586066876,362.4449290156172,370.850988197758
1998-06-01,368.75,366.01516502158535,361.7560032625289,370.2743267806418
1998-07-01,367.6,364.34769001258337,360.0331262992742,368.6622537258925
1998-08-01,365.71999999999997,362.36973873489575,358.00047550380066,366.73900196599084
1998-09-01,363.925,360.65323105613714,356.22994468410616,365.07651742816813
1998-10-01,364.32,360.76388702141446,356.28722939821046,365.24054464461847
1998-11-01,365.55,362.0025189809167,357.4731189520182,366.5319190098152
1998-12-01,366.925,363.2761507387994,358.6946154319201,367.8576860456787
1999-01-01,368.12,364.3197867614089,359.68670280851353,368.9528707143043
1999-02-01,368.85,365.07753638559245,360.3934710507607,369.7616017204242
1999-03-01,369.6,366.1045154017058,361.35531385279944,370.8537169506121
1999-04-01,370.975,367.39777221807043,362.5896951638745,372.20584927226633
1999-05-01,370.84000000000003,367.95353131237766,363.0872912236674,372.8197714010879
1999-06-01,370.25,367.3207377272754,362.39702162631505,372.24445382823575
1999-07-01,369.0,365.6532627182734,360.67273384226627,370.6337915942806
1999-08-01,366.7,363.6753114405858,358.6386105832163,368.7120122979553
1999-09-01,364.675,361.9588037618272,356.8665505112011,367.05105701245327
1999-10-01,365.14,362.0694597271045,356.92225361015164,367.2166658440574
1999-11-01,366.65,363.30809168660676,358.106513228842,368.5096701443715
1999-12-01,367.9,364.58172344448946,359.3263351530149,369.837111735964
2000-01-01,369.02,365.625359467099,360.31670674385055,370.9340121903474
