date,actual,sarima,prophet,lstm
1993-03-01,358.425,358.27107916756546,359.442016548544,355.06793
1993-04-01,359.325,359.56433598393005,360.6563460704331,355.01022
1993-05-01,360.18,360.1200950782373,361.1711345951771,354.93454
1993-06-01,359.5,359.4873014931351,360.6738754819496,354.85883
1993-07-01,357.41999999999996,357.8198264841331,359.3133900115641,354.8106
1993-08-01,355.325,355.84187520644554,357.4258243599195,354.80304
1993-09-01,353.775,354.12536752768693,355.8570923679164,354.83142
1993-10-01,354.06,354.23602349296425,355.8702179416247,354.88297
1993-11-01,355.35,355.4746554524665,357.02825094892836,354.9241
1993-12-01,356.775,356.7482872103492,358.2350667279563,354.9319
1994-01-01,358.32,357.7919232329587,359.25327555272673,354.91055
1994-02-01,358.9,358.5496728571422,360.0158251044571,354.8679
1994-03-01,359.925,359.5766518732555,360.9524081651135,354.80667
1994-04-01,361.21999999999997,360.86990868962016,362.1603607659925,354.72162
1994-05-01,361.65,361.4256677839274,362.761884359946,354.61725
1994-06-01,360.9,360.79287419882513,362.2511012941927,354.51013
1994-07-01,359.46,359.12539918982316,360.8460571044476,354.41846
1994-08-01,357.375,357.14744791213553,359.0262003296771,354.37106
1994-09-01,355.92499999999995,355.43094023337693,357.42631152028764,354.36383
1994-10-01,356.02,355.54159619865425,357.36457447215395,354.38647
1994-11-01,357.575,356.7802281581565,358.56895244071086,354.3974
1994-12-01,359.06,358.0538599160392,359.7974067062902,354.38977
1995-01-01,359.975,359.0974959386487,360.8093414311232,354.35846
1995-02-01,360.925,359.85524556283224,361.58533161707,354.30313
1995-03-01,361.575,360.88222457894557,362.4621798107471,354.2419
1995-04-01,363.36,362.1754813953102,363.6652772343156,354.2202
1995-05-01,363.7,362.73124048961745,364.35335541025677,354.1993
1995-06-01,363.25,362.0984469045152,363.82763640424446,354.1794
1995-07-01,361.8,360.4309718955132,362.3787906984334,354.16034
1995-08-01,359.375,358.4530206178256,360.6267694721357,354.14133
1995-09-01,358.0,356.736512939067,358.9945814675797,354.1216
1995-10-01,357.85,356.8471689043443,358.85898102690953,354.10062
1995-11-01,359.475,358.08580086384654,360.1106962802896,354.07803
1995-12-01,360.7,359.35943262172924,361.3601519502843,354.05426
1996-01-01,362.025,360.40306864433876,362.36532850785864,354.03018
1996-02-01,363.175,361.1608182685223,363.15412474956094,354.00644
1996-03-01,364.06000000000006,362.1877972846356,364.13644977735186,353.98358
1996-04-01,364.7,363.48105410100027,365.358677064826,353.96207
1996-05-01,365.325,364.0368131953075,365.786637375866,353.94226
1996-06-01,364.88,363.40401961020524,365.30147403303255,353.92447
1996-07-01,363.475,361.73654460120326,363.9862581206868,353.90863
1996-08-01,361.32,359.75859332351564,362.0311647783546,353.89426
1996-09-01,359.4,358.04208564475704,360.49242141530743,353.8804
1996-10-01,359.625,358.15274161003435,360.5813428662284,353.8663
1996-11-01,360.73999999999995,359.3913735695366,361.69407187242,353.85144
1996-12-01,362.375,360.6650053274193,362.8786513051702,353.83615
1997-01-01,363.125,361.7086413500288,363.90264936136987,353.8209
1997-02-01,363.875,362.46639097421235,364.651124064002,353.80612
1997-03-01,364.56,363.4933699903257,365.64750686684465,353.79233
1997-04-01,366.325,364.7866268066903,366.86183638873365,353.77954
1997-05-01,366.68,365.34238590099756,367.3766249134778,353.76697
1997-06-01,365.475,364.7095923158953,366.8793658002502,353.75464
1997-07-01,364.375,363.0421173068933,365.51888032986454,353.7425
1997-08-01,362.46000000000004,361.0641660292057,363.63131467822006,353.7306
1997-09-01,360.15,359.3476583504471,362.06258268621696,353.7189
1997-10-01,360.75,359.4583143157244,362.07570825992525,353.7075
1997-11-01,362.38,360.69694627522665,363.2337412672288,353.69635
1997-12-01,364.25,361.97057803310935,364.4405570462568,353.68555
1998-01-01,365.34000000000003,363.01421405571887,365.4587658710272,353.67514
1998-02-01,366.2,363.7719636799024,366.22131542275775,353.6651
1998-03-01,367.375,364.79894269601573,367.1578984834141,353.65543
1998-04-01,368.525,366.0921995123804,368.36585108429307,353.64606
1998-05-01,369.14,366.6479586066876,368.96737467824653,353.63705
1998-06-01,368.75,366.01516502158535,368.45659161249336,353.6283
1998-07-01,367.6,364.34769001258337,367.0515474227481,353.61975
1998-08-01,365.71999999999997,362.36973873489575,365.23169064797804,353.61145
1998-09-01,363.925,360.65323105613714,363.6318018385882,353.60327
1998-10-01,364.32,360.76388702141446,363.57006479045424,353.5953
1998-11-01,365.55,362.0025189809167,364.7744427590114,353.5875
1998-12-01,366.925,363.2761507387994,366.0028970245909,353.57993
1999-01-01,368.12,364.3197867614089,367.0148317494237,353.5725
1999-02-01,368.85,365.07753638559245,367.79082193537056,353.56537
1999-03-01,369.6,366.1045154017058,368.6676701290479,353.55838
1999-04-01,370.975,367.39777221807043,369.87076755261603,353.55164
1999-05-01,370.84000000000003,367.95353131237766,370.5588457285571,353.54504
1999-06-01,370.25,367.3207377272754,370.0331267225452,353.5386
1999-07-01,369.0,365.6532627182734,368.5842810167341,353.53238
1999-08-01,366.7,363.6753114405858,366.8322597904363,353.5263
1999-09-01,364.675,361.9588037618272,365.20007178588037,353.5204
1999-10-01,365.14,362.0694597271045,365.0644713452101,353.51462
1999-11-01,366.65,363.30809168660676,366.3161865985902,353.50903
1999-12-01,367.9,364.58172344448946,367.565642268585,353.5036
2000-01-01,369.02,365.625359467099,368.5708188261592,353.49832
2000-02-01,369.375,366.3831090912825,369.35961506786134,353.49316
2000-03-01,370.4,367.41008810739584,370.34194009565215,353.48816
2000-04-01,371.54,368.7033449237605,371.5641673831265,353.48328
