date,actual,forecast,lower_ci,upper_ci,trend,yearly
1993-03-01,358.425,359.4409988978384,358.95781380414155,359.9441215900737,358.0465255463589,1.3944733514795438
1993-04-01,359.325,360.65522116629,360.09424429612125,361.12846625539646,358.17815914750025,2.477062018789738
1993-05-01,360.18,361.1699999936367,360.66205395069045,361.68251720089665,358.3055465034434,2.8644534901932777
1993-06-01,359.5,360.67271224717757,360.1255885774813,361.17382133720224,358.43718010458474,2.2355321425928043
1993-07-01,357.42,359.31218069933743,358.76578748630885,359.8189568580029,358.56456746052794,0.7476132388094682
1993-08-01,355.325,357.42460127063214,356.9018068649391,357.92894658313156,358.6962010616693,-1.2715997910371373
1993-09-01,353.775,355.8558075787655,355.32630423011125,356.3456673518031,358.8278346628106,-2.9720270840450933
1993-10-01,354.06,355.86900973601894,355.3948537023984,356.40914426762424,358.9552220187538,-3.0862122827348406
1993-11-01,355.35,357.0270770289028,356.5002631219871,357.5833157019112,359.0868556198951,-2.059778590992304
1993-12-01,356.775,358.23377589076523,357.68828648026414,358.7788223709932,359.2142429758383,-0.9804670850730831
1994-01-01,358.32,359.25199364624245,358.64513123935194,359.77132040151594,359.3458765769796,-0.0938829307371279
1994-02-01,358.9,360.0143715130976,359.47432731531273,360.5648842464353,359.4775101781209,0.536861334976711
1994-03-01,359.925,360.95088516830174,360.3790329598367,361.5274794536147,359.59640504366786,1.3544801246338556
1994-04-01,361.22,362.1588092225586,361.5796308426911,362.7711003451569,359.7280386448092,2.4307705777493824
1994-05-01,361.65,362.76030223847147,362.17263226182064,363.3271361516993,359.85542600075246,2.9048762377190362
1994-06-01,360.9,362.24946735366797,361.6232827418659,362.8773349781156,359.98705960189375,2.262407751774201
1994-07-01,359.46,360.8444416574445,360.16308975038316,361.4521708199172,360.11444695783695,0.7299946996075711
1994-08-01,357.375,359.0245673995524,358.3496782433634,359.65909099915984,360.2460805589783,-1.2215131594259094
1994-09-01,355.92499999999995,357.42465761747786,356.70796744356903,358.09936302923376,360.3777141601196,-2.953056542641701
1994-10-01,356.02,357.36291287260457,356.6488820321845,358.02222853060124,360.5051015160628,-3.142188643458185
1994-11-01,357.575,358.5672809668162,357.85299544049406,359.22054556113426,360.63673511720407,-2.0694541503878785
1994-12-01,359.06,359.7956537117549,359.0580546513455,360.4739766344718,360.76412247314727,-0.9684687613924002
1995-01-01,359.975,360.80763918301955,359.9788612488419,361.5052784083141,360.8957560742886,-0.08811689126907474
1995-02-01,360.925,361.5835687725383,360.8326164818079,362.37893853254485,361.0273896754299,0.5561790971083556
1995-03-01,361.575,362.46014985015347,361.6556993492972,363.27746192274583,361.1462845409769,1.3138653091765675
1995-04-01,363.36,363.6632991357488,362.7900306335858,364.52118156932136,361.2779181421182,2.385380993630573
1995-05-01,363.7,364.35132554813015,363.4173612769177,365.26764800577274,361.4053054980614,2.9460200500687272
1995-06-01,363.25,363.8255326553668,362.91414652830656,364.78552366200273,361.53693909920275,2.2885935561640767
1995-07-01,361.8,362.37677034500314,361.3738923329286,363.33907017635767,361.6643264551459,0.71244388985725
1995-08-01,359.375,360.6247272126656,359.6612411821363,361.5970761146203,361.79596005628724,-1.1712328436216433
